INFO:19/08/2018 20:57:51, Programa lanzado. Datos: Número de genes: 20, Probabilidad de mutación: 0.2, Genes seleccionados: 8
INFO:19/08/2018 20:57:51, Se ha elegido el modo TRAINING
INFO:19/08/2018 20:57:52, Genoma importado
INFO:19/08/2018 20:57:54, Se va a entrenar durante 30 generaciones
INFO:19/08/2018 20:59:54, Fitness: #### [137, 105, 61, 59, 58, 49, 49, 47]
INFO:19/08/2018 20:59:55, Generación completada 1
INFO:19/08/2018 21:02:06, Fitness: #### [110, 109, 101, 79, 75, 74, 60, 50]
INFO:19/08/2018 21:02:08, Generación completada 2
INFO:19/08/2018 21:04:13, Fitness: #### [143, 95, 84, 75, 69, 60, 59, 49]
INFO:19/08/2018 21:04:14, Generación completada 3
INFO:19/08/2018 21:12:01, Programa lanzado. Datos: Número de genes: 20, Probabilidad de mutación: 0.2, Genes seleccionados: 8
INFO:19/08/2018 21:12:01, Se ha elegido el modo TRAINING
INFO:19/08/2018 21:12:02, Genoma importado
INFO:19/08/2018 21:12:12, Programa lanzado. Datos: Número de genes: 20, Probabilidad de mutación: 0.2, Genes seleccionados: 8
INFO:19/08/2018 21:12:12, Se ha elegido el modo TRAINING
INFO:19/08/2018 21:12:12, Genoma importado
INFO:19/08/2018 21:12:14, Se va a entrenar durante 30 generaciones
INFO:19/08/2018 21:14:07, Copio 11
INFO:19/08/2018 21:14:07, Copio 14
INFO:19/08/2018 21:14:07, Copio 8
INFO:19/08/2018 21:14:07, Copio 7
INFO:19/08/2018 21:14:07, Copio 10
INFO:19/08/2018 21:14:07, Copio 0
INFO:19/08/2018 21:14:07, Copio 17
INFO:19/08/2018 21:14:07, Copio 1
INFO:19/08/2018 21:14:07, Fitness: #### [113, 66, 62, 60, 55, 53, 50, 48]
INFO:19/08/2018 21:14:07, Copio 14
INFO:19/08/2018 21:14:07, Copio 14
INFO:19/08/2018 21:14:07, Seleccionadoss 14 y 14
INFO:19/08/2018 21:14:07, Copio 0
INFO:19/08/2018 21:14:07, Copio 17
INFO:19/08/2018 21:14:07, Seleccionadoss 0 y 17
INFO:19/08/2018 21:14:07, Copio 0
INFO:19/08/2018 21:14:07, Copio 0
INFO:19/08/2018 21:14:07, Seleccionadoss 0 y 0
INFO:19/08/2018 21:14:07, Copio 1
INFO:19/08/2018 21:14:07, Copio 8
INFO:19/08/2018 21:14:07, Seleccionadoss 1 y 8
INFO:19/08/2018 21:14:08, Copio 8
INFO:19/08/2018 21:14:08, Copio 0
INFO:19/08/2018 21:14:08, Seleccionadoss 8 y 0
INFO:19/08/2018 21:14:08, Copio 11
INFO:19/08/2018 21:14:08, Copio 14
INFO:19/08/2018 21:14:08, Seleccionadoss 11 y 14
INFO:19/08/2018 21:14:08, Copio 0
INFO:19/08/2018 21:14:08, Copio 14
INFO:19/08/2018 21:14:08, Seleccionadoss 0 y 14
INFO:19/08/2018 21:14:08, Copio 0
INFO:19/08/2018 21:14:08, Copio 0
INFO:19/08/2018 21:14:08, Seleccionadoss 0 y 0
INFO:19/08/2018 21:14:08, Copio 1
INFO:19/08/2018 21:14:08, Copio 17
INFO:19/08/2018 21:14:08, Copio 10
INFO:19/08/2018 21:14:08, Copio 14
INFO:19/08/2018 21:14:08, Generación completada 1
INFO:20/08/2018 10:30:15, Programa lanzado. Datos: Número de genes: 10, Probabilidad de mutación: 0.2, Genes seleccionados: 4
INFO:20/08/2018 10:30:15, Se ha elegido el modo TRAINING
INFO:20/08/2018 10:30:16, Genoma importado
INFO:20/08/2018 10:30:20, Se va a entrenar durante 30 generaciones
INFO:20/08/2018 10:31:16, Copio 2
INFO:20/08/2018 10:31:16, Copio 9
INFO:20/08/2018 10:31:16, Copio 0
